GAME_TITLE,CONSOLE_NUM,DATE_FIRST_RELEASED,GAME_SERIES,ID,CUSTOM,CUSTOM_NAME,REMAKE_RMSTR_RRLSE,REMAKE_RMSTR_RRLSE NAME,REGION,DIRECT_SEQUEL
Crash of the Titans,05,,,00343,,,,,,
Crash of the Titans,07,,,00344,,,,,,
Crash of the Titans,08,,,00345,,,,,,
Crash Tag Team Racing,04,,,00346,,,,,,
Crash Team Racing,12,,,00347,,,,,,
Crash: Mind over Mutant,05,,,00348,,,,,,
Crash: Mind Over Mutant,07,,,00349,,,,,,
Crashmo,11,,,00350,,,,,,
Crazy Taxi,04,,,00351,,,,,,
Crazy Taxi: Catch a Ride,08,,,00352,,,,,,
CrossworDS,07,200805,CROSSWOR_DS,00353,,,,,,
Crosswords Plus,11,201210,CROSSWOR_DS,00354,,,,,,
Crystalis,01,,,00355,,,,,,
Crystalis,10,,,00356,,,,,,
Cubivore: Survival of the Fittest,04,,,00357,,,,,,
Custom Robo,03,199912,CUSTOM_ROBO,00358,,,,,,
Custom Robo,04,200403,CUSTOM_ROBO,00359,,,,,,
Custom Robo Arena,07,200610,CUSTOM_ROBO,00360,,,,,,
Custom Robo GX,08,200207,CUSTOM_ROBO,00361,,,,,,
Custom Robo V2,03,200011,CUSTOM_ROBO,00362,,,,,,
Dance Dance Revolution: Mario Mix,04,,,00363,,,,,,
Darkstalkers 3,12,,,00364,,,,,,
Dawn of Mana,13,200612,MANA,00365,,,,,,
De Blob,05,,,00366,,,,,,
De Blob 2,05,,,00367,,,,,,
De Blob 2,07,,,00368,,,,,,
Dead or Alive,12,,,00369,,,,,,
Dead Rising: Chop Till You Drop,05,,,00370,,,,,,
Dead Space: Extraction,05,,,00371,,,,,,
Deadly Creatures,05,,,00372,,,,,,
Dedede's Drum Dash Deluxe,11,,KIRBY,00373,,,,,,
DemiKids: Dark Version,08,,,00374,,,,,,
DemiKids: Light Version,08,,,00375,,,,,,
Demon's Crest,02,,,00376,,,,,,
Densetsu no Stafy,08,,,00377,,,,,,
Densetsu no Stafy 2,08,,,00378,,,,,,
Densetsu no Stafy 3,08,,,00379,,,,,,
Densetsu no Stafy 4,07,,,00380,,,,,,
Detective Pikachu,11,201602,POKEMON,00381,,,,,,
Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,13,200810,MEGAMI_TENSEI,00382,,,,,,
Devil Summoner: Raidou Kuzunoha vs. the Soulless Army,13,200603,MEGAMI_TENSEI,00383,,,,,,
Dewy's Adventure,05,,,00384,,,,,,
Diablo,12,,,00385,,,,,,
Diddy Kong Racing,03,199711,DONKEY_KONG_COUNTRY,00386,,,,,,
Diddy Kong Racing DS,07,200702,DONKEY_KONG_COUNTRY,00387,,,,,,
Dig Dug,09,,,00388,,,,,,
Dig Dug: Digging Strike,07,,,00389,,,,,,
Digital Devil Story: Megami Tensei,01,198709,MEGAMI_TENSEI,00390,,,,,,
Digital Devil Story: Megami Tensei,02,199503,MEGAMI_TENSEI,00391,,,,,,
Digital Devil Story: Megami Tensei II,01,199004,MEGAMI_TENSEI,00392,,,,,,
Digital Devil Story: Megami Tensei II,02,199503,MEGAMI_TENSEI,00393,,,,,,
Dillon's Dead-Heat Breakers,11,201804,DILLON,00394,,,,,,
Dillon's Rolling Western,11,201202,DILLON,00395,,,,,,
Dillon's Rolling Western: The Last Ranger,11,201304,DILLON,00396,,,,,,
Dino Crisis,12,,,00397,,,,,,
Dino Crisis 2,12,,,00398,,,,,,
Disaster: Day of Crisis,05,,,00399,,,,,,
Disney Art Academy,11,201605,ART_ACADEMY,00400,,,,,,
Disney Epic Mickey: The Power of Illusion,11,,,00401,,,,,,
Disney's Aladdin,08,,,00402,,,,,,
DK Jungle Climber,07,,,00403,,,,,,
DK: King of Swing,08,,,00404,,,,,,
Dobutsu no Mori,03,,,00405,,,,,,
Dokapon Kingdom,05,,,00406,,,,,,
Donkey Kong,01,198307,DONKEY_KONG,00407,,,,,,
Donkey Kong,28,198207,DONKEY_KONG,00408,,,,,,
Donkey Kong,39,198208,DONKEY_KONG,00409,,,,,,
Donkey Kong,41,198208,DONKEY_KONG,00410,,,,,,
Donkey Kong,45,198312,DONKEY_KONG,00411,,,,,,
Donkey Kong,54,198107,DONKEY_KONG,00412,,,,,,
Donkey Kong 3,01,198407,DONKEY_KONG,00413,,,,,,
Donkey Kong 3,54,198309,DONKEY_KONG,00414,,,,,,
Donkey Kong 64,03,199911,DONKEY_KONG_COUNTRY,00415,,,,,,
Donkey Kong 94,09,199406,MARIO_VS_DONKEY_KONG,00416,,,,,,
Donkey Kong Barrel Blast,05,200706,DONKEY_KONG_COUNTRY,00417,,,,,,
Donkey Kong Classics,01,198810,DONKEY_KONG,00418,,,,,,
Donkey Kong Country,02,199411,DONKEY_KONG_COUNTRY,00419,,,,,,
Donkey Kong Country,08,200306,DONKEY_KONG_COUNTRY,00420,,,RERELEASE,419,,
Donkey Kong Country,10,200011,DONKEY_KONG_COUNTRY,00421,,,DEMAKE,419,,
Donkey Kong Country 2,08,200406,DONKEY_KONG_COUNTRY,00422,,,RERELEASE,423,,
Donkey Kong Country 2: Diddy's Kong Quest,02,199511,DONKEY_KONG_COUNTRY,00423,,,,,,
Donkey Kong Country 3,08,200511,DONKEY_KONG_COUNTRY,00424,,,RERELEASE,425,,
Donkey Kong Country 3: Dixie Kong's Double Trouble,02,199611,DONKEY_KONG_COUNTRY,00425,,,,,,
Donkey Kong Country Returns,05,201011,DONKEY_KONG_COUNTRY,00426,,,,,,
Donkey Kong Country Returns 3D,11,201305,DONKEY_KONG_COUNTRY,00427,,,RERELEASE,426,,
Donkey Kong Country: Tropical Freeze,18,201402,DONKEY_KONG_COUNTRY,00428,,,,,,
Donkey Kong Country: Tropical Freeze,17,201805,DONKEY_KONG_COUNTRY,00429,,,RERELEASE,428,jp,
Donkey Kong GB: Dinky Kong & Dixie Kong,10,200001,DONKEY_KONG_COUNTRY,00430,,,REMAKE,437,,
Donkey Kong Jr.,54,198206,DONKEY_KONG,00431,,,,,,
Donkey Kong Jr.,01,198307,DONKEY_KONG,00432,,,,,,
Donkey Kong Jr. Math,01,198312,DONKEY_KONG,00433,,,,,,
Donkey Kong Jungle Beat,04,200412,DONKEY_KONG_COUNTRY,00434,,,,,,
Donkey Kong Land,09,199506,DONKEY_KONG_COUNTRY,00435,,,,,,
Donkey Kong Land 2,09,199609,DONKEY_KONG_COUNTRY,00436,,,,,,
Donkey Kong Land 3,09,199710,DONKEY_KONG_COUNTRY,00437,,,,,,
Donkey Konga,04,200312,DONKEY_KONG,00438,,,,,,
Donkey Konga 2,04,200407,DONKEY_KONG,00439,,,,,,
Donkey Konga 3,04,200503,DONKEY_KONG,00440,,,,,jp,
Doom,02,,,00441,,,,,,
Doom,08,,,00442,,,,,,
Doom,12,,,00443,,,,,,
Doom 64,03,,,00444,,,,,,
Doom II: Hell on Earth,08,,,00445,,,,,,
Doshin the Giant,04,,,00446,,,,,,
Double Dragon,01,,,00447,,,,,,
Double Dragon,09,,,00448,,,,,,
