Title of Game,System,Date (First Released),Series,Version,Regions,Direct Sequel,Developer,Publisher,Genre,Alternative Names
Pokemon Crystal,NIN - GBC,200012,Pokemon,,,,,,,
Pokemon Dash,NIN - DS,200412,Pokemon,,,,,,,
Pokemon Diamond,NIN - DS,200609,Pokemon,,,,,,,
Pokemon Emerald,NIN - GBA,200409,Pokemon,,,,,,,
Pokemon FireRed,NIN - GBA,200401,Pokemon,Remake,,,,,,
Pokemon Gold,NIN - GBC,199911,Pokemon,,,,,,,
Pokemon HeartGold,NIN - DS,200909,Pokemon,Remake,,,,,,
Pokemon LeafGreen,NIN - GBA,200401,Pokemon,Remake,,,,,,
Pokemon Legends Arceus,NIN - SWI,202201,Pokemon,,,,,,,
Pokemon Let's Go Eevee,NIN - SWI,201811,Pokemon,Remake,,,,,,
Pokemon Let's Go Pikachu,NIN - SWI,201811,Pokemon,Remake,,,,,,
Pokemon Moon,NIN - 3DS,201611,Pokemon,,,,,,,
Pokemon Mystery Dungeon: Adventure Team,NIN - WIIW,200908,Pokemon,,jp,,,,,
Pokemon Mystery Dungeon: Blue Rescue Team,NIN - DS,200511,Pokemon,,,,,,,
Pokemon Mystery Dungeon: Explorers of Sky,NIN - DS,200904,Pokemon,Remake,,,,,,
Pokemon Mystery Dungeon: Explorers of Time & Darkness,NIN - DS,200709,Pokemon,,,,,,,
Pokemon Mystery Dungeon: Gates to Infinity,NIN - 3DS,20121123,Pokemon,,,,,,,
Pokemon Mystery Dungeon: Red Rescue Team,NIN - GBA,200511,Pokemon,,,,,,,
Pokemon Mystery Dungeon: Rescue Team DX,NIN - SWI,202003,Pokemon,Remake,,,,,,
Pokemon Omega Ruby,NIN - 3DS,201411,Pokemon,Remake,,,,,,
Pokemon Pearl,NIN - DS,200609,Pokemon,,,,,,,
Pokemon Picross,NIN - 3DS,201512,Pokemon,,,,,,,
Pokemon Pinball,NIN - GBC,199904,Pokemon,,,,,,,
Pokemon Pinball: Ruby and Sapphire,NIN - GBA,200308,Pokemon,,,,,,,
Pokemon Platinum,NIN - DS,200809,Pokemon,,,,,,,
Pokemon Puzzle Challenge,NIN - GBC,200009,Pokemon,,,,,,,
Pokemon Puzzle League,NIN - N64,200009,Pokemon,,,,,,,
Pokemon Ranger,NIN - DS,200603,Pokemon,,,,,,,
Pokemon Ranger: Guardian Signs,NIN - DS,201003,Pokemon,,,,,,,
Pokemon Ranger: Shadows of Almia,NIN - DS,200803,Pokemon,,,,,,,
Pokemon Red,NIN - GB,199602,Pokemon,,,,,,,
Pokemon Ruby,NIN - GBA,200211,Pokemon,,,,,,,
Pokemon Rumble,NIN - WIIW,200906,Pokemon,,,,,,,
Pokemon Rumble Blast,NIN - 3DS,201108,Pokemon,,,,,,,
Pokemon Rumble U,NIN - WIIU,201304,Pokemon,,,,,,,
Pokemon Rumble World,NIN - 3DS,201604,Pokemon,,,,,,,
Pokemon Sapphire,NIN - GBA,200211,Pokemon,,,,,,,
Pokemon Scarlet,NIN - SWI,202211,Pokemon,,,,,,,
Pokemon Shield,NIN - SWI,201911,Pokemon,,,,,,,
Pokemon Shining Pearl,NIN - SWI,202111,Pokemon,Remake,,,,,,
Pokemon Shuffle,NIN - 3DS,201502,Pokemon,,,,,,,
Pokemon Silver,NIN - GBC,199911,Pokemon,,,,,,,
Pokemon Snap,NIN - N64,199903,Pokemon,,,,,,,
Pokemon SoulSilver,NIN - DS,200909,Pokemon,Remake,,,,,,
Pokemon Stadium,NIN - N64,199904,Pokemon,,,,,,,
Pokemon Stadium 2,NIN - N64,200012,Pokemon,,,,,,,
Pokemon Sun,NIN - 3DS,201611,Pokemon,,,,,,,
Pokemon Super Mystery Dungeon,NIN - 3DS,201509,Pokemon,,,,,,,
Pokemon Sword,NIN - SWI,201911,Pokemon,,,,,,,
Pokemon Trading Card Game,NIN - GBC,199812,Pokemon,,,,,,,
Pokemon Trozei,NIN - DS,200510,Pokemon,,,,,,,
Pokemon Ultra Moon,NIN - 3DS,201711,Pokemon,Alt,,,,,,
Pokemon Ultra Sun,NIN - 3DS,201711,Pokemon,Alt,,,,,,
Pokemon Violet,NIN - SWI,202211,Pokemon,,,,,,,
Pokemon White,NIN - DS,201009,Pokemon,,,,,,,
Pokemon White 2,NIN - DS,201206,Pokemon,,,Pokemon White,,,,
Pokemon X,NIN - 3DS,201310,Pokemon,,,,,,,
Pokemon XD: Gale of Darkness,NIN - GCN,200508,Pokemon,,,,,,,
Pokemon Y,NIN - 3DS,201310,Pokemon,,,,,,,
Pokemon Yellow,NIN - GB,199809,Pokemon,,,,,,,
PokePark 2: Wonders Beyond,NIN - WII,200912,Pokemon,,,,,,,
PokePark Wii: Pikachu's Adventure,NIN - WII,201111,Pokemon,,,,,,,
Pokken Tournament,NIN - WIIU,201603,Pokemon,,,,,,,
Pokken Tournament DX,NIN - SWI,201709,Pokemon,,,,,,,
Poochy & Yoshi's Woolly World,NIN - 3DS,,,,,,,,,
Popeye,NIN - NES,,,,,,,,,
Portal,MIC - WIN,200710,Portal,,,,,,,
Portal,MIC - X360,200710,Portal,,,,,,,
Portal,SON - PS3,200711,Portal,,,,,,,
Portal,NIN - SWI,202206,Portal,,,,,,,
Portal 2,MIC - WIN,201104,Portal,,,,,,,
Portal 2,MIC - X360,201104,Portal,,,,,,,
Portal 2,SON - PS3,201104,Portal,,,,,,,
Portal 2,NIN - SWI,202206,Portal,,,,,,,
Primal Rage,NIN - SNES,,,,,,,,,
Prince of Persia,NIN - GBC,,,,,,,,,
Prince of Persia,NIN - SNES,,,,,,,,,
Prince of Persia: The Fallen King,NIN - DS,,,,,,,,,
Prince of Persia: The Forgotten Sands,NIN - DS,,,,,,,,,
Prince of Persia: The Forgotten Sands,NIN - WII,,,,,,,,,
Prince of Persia: The Sands of Time,NIN - GCN,,,,,,,,,
Prince of Persia: The Two Thrones,NIN - GCN,,,,,,,,,
Prince of Persia: Warrior Within,NIN - GCN,,,,,,,,,
Pro Wrestling,NIN - NES,,,,,,,,,
Professor Layton and the Azran Legacy,NIN - 3DS,,,,,,,,,
Professor Layton and the Curious Village,NIN - DS,,,,,,,,,
Professor Layton and the Diabolical Box,NIN - DS,,,,,,,,,
Professor Layton and the Last Specter,NIN - DS,,,,,,,,,
Professor Layton and the Miracle Mask,NIN - 3DS,,,,,,,,,
Professor Layton and the Unwound Future,NIN - DS,,,,,,,,,
Professor Layton vs. Phoenix Wright: Ace Attorney,NIN - 3DS,,,,,,,,,
Project X Zone,NIN - 3DS,,,,,,,,,
Project X Zone 2,NIN - 3DS,,,,,,,,,
Punch Club,APP - IOS,20160109,,,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,APP - MAC,20160109,,,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,GOO - AND,20160109,,,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,MIC - WIN,20160109,,,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,NIN - 3DS,20170119,,Port,na-eu,,Lazy Bear Games,tinyBuild,,
Punch Club,MIC - XB1,20170331,,Port,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,SON - PS4,20170331,,Port,ww,,Lazy Bear Games,tinyBuild,,
Punch Club,NIN - SWI,20180524,,Port,ww,,Lazy Bear Games,tinyBuild,,
Punch-Out,NIN - NES,,,,,,,,,
Punch-Out!!,NIN - WII,,,,,,,,,
Pushmo,NIN - 3DS,,,,,,,,,
Puyo Pop Fever,NIN - DS,,,,,,,,,
Puyo Pop Fever,NIN - GBA,,,,,,,,,
Puyo Pop Fever,NIN - GCN,,,,,,,,,
Puzzle & Dragons: Super Mario Bros. Edition,NIN - 3DS,,,,,,,,,
Puzzle de Harvest Moon,NIN - DS,,,,,,,,,
Qix,NIN - GB,,,,,,,,,
Quake 64,NIN - N64,,,,,,,,,
Quake II,NIN - N64,,,,,,,,,
Quest 64,NIN - N64,,,,,,,,,
R.C. Pro-Am,NIN - NES,,,,,,,,,
R.C. Pro-Am II,NIN - NES,,,,,,,,,
R: Racing Evolution,MIC - XBOX,200311,Ridge Racer,,,,,,,
R: Racing Evolution,NIN - GCN,200311,Ridge Racer,,,,,,,
R: Racing Evolution,SON - PS2,200311,Ridge Racer,,,,,,,
Rabbids Go Home,NIN - DS,,,,,,,,,
Rabbids Go Home,NIN - WII,,,,,,,,,
Rabbids: Travel in Time 3D,NIN - 3DS,,,,,,,,,
Rad Racer,NIN - NES,,,,,,,,,
Rad Racer II,NIN - NES,,,,,,,,,
Radar Mission,NIN - GB,,,,,,,,,
Radiant Historia,NIN - DS,,,,,,,,,
Radiant Historia: Perfect Chronology,NIN - 3DS,,,,,,,,,
Raving Rabbids: Travel in Time,NIN - WII,,,,,,,,,
Rayman,NIN - GBC,,,,,,,,,
Rayman 2: The Great Escape,NIN - GBC,,,,,,,,,
Rayman 2: The Great Escape,NIN - N64,,,,,,,,,
Rayman 3,NIN - GBA,,,,,,,,,
Rayman 3: Hoodlum Havoc,NIN - GCN,,,,,,,,,
Rayman 3D,NIN - 3DS,,,,,,,,,
Rayman Advance,NIN - GBA,,,,,,,,,
Rayman Arena,NIN - GCN,,,,,,,,,
Rayman DS,NIN - DS,,,,,,,,,
Rayman Origins,NIN - 3DS,,,,,,,,,
Rayman Origins,NIN - WII,,,,,,,,,
Rayman Raving Rabbids,NIN - DS,,,,,,,,,
Rayman Raving Rabbids,NIN - WII,,,,,,,,,
Rayman Raving Rabbids 2,NIN - DS,,,,,,,,,
Rayman Raving Rabbids 2,NIN - WII,,,,,,,,,
Rayman Raving Rabbids TV Party,NIN - WII,,,,,,,,,
Rayman: Hoodlum's Revenge,NIN - GBA,,,,,,,,,
Red Alarm,NIN - VB,,,,,,,,,
Red Steel,NIN - WII,200611,Red Steel,,,,,,,
Red Steel 2,NIN - WII,201003,Red Steel,,,,,,,
Resident Evil,NIN - GCN,,,,,,,,,
Resident Evil,SON - PS1,,,,,,,,,
Resident Evil - Code: Veronica,NIN - GCN,,,,,,,,,
Resident Evil 2,NIN - GCN,,,,,,,,,
Resident Evil 2,NIN - N64,,,,,,,,,
Resident Evil 2,SON - PS1,,,,,,,,,
Resident Evil 3: Nemesis,NIN - GCN,,,,,,,,,
Resident Evil 3: Nemesis,SON - PS1,,,,,,,,,
Resident Evil 4,MIC - WIN,202320324,Resident Evil,Remake,ww,,Capcom,Capcom,,
Resident Evil 4,MIC - XSXS,202320324,Resident Evil,Remake,ww,,Capcom,Capcom,,
Resident Evil 4,SON - PS4,202320324,Resident Evil,Remake,ww,,Capcom,Capcom,,
Resident Evil 4,SON - PS5,202320324,Resident Evil,Remake,ww,,Capcom,Capcom,,
Resident Evil 4,NIN - GCN,,,,,,,,,
Resident Evil 4: Wii Edition,NIN - WII,200705,,,,,,,,
Resident Evil Archives: Resident Evil,NIN - WII,200812,,,,,,,,
Resident Evil Archives: Resident Evil Zero,NIN - WII,200807,,,,,,,,
Resident Evil Gaiden,NIN - GBC,,,,,,,,,
Resident Evil Survivor,SON - PS1,,,,,,,,,
Resident Evil Zero,NIN - GCN,,,,,,,,,
Resident Evil: Deadly Silence,NIN - DS,,,,,,,,,
Resident Evil: Revelations,NIN - 3DS,,,,,,,,,
Resident Evil: The Darkside Chronicles,NIN - WII,201001,,,,,,,,
Resident Evil: The Mercenaries 3D,NIN - 3DS,,,,,,,,,
Resident Evil: The Umbrella Chronicles,NIN - WII,200711,,,,,,,,
Retro City Rampage DX,NIN - 3DS,,,,,,,,,
Retro City Rampage DX+,NIN - WII,,,,,,,,,
Return of the Ninja,NIN - GBC,,,,,,,,,
Return to PopoloCrois: A Story of Seasons Fairytale,NIN - 3DS,,,,,,,,,
Rhythm Heaven,NIN - DS,,,,,,,,,
Rhythm Heaven Fever,NIN - WII,,,,,,,,,
Rhythm Heaven Megamix,NIN - 3DS,,,,,,,,,
Rhythm Tengoku,NIN - GBA,,,,,,,,,
Rhythm Thief & the Emperor's Treasure,NIN - 3DS,,,,,,,,,
Ridge Racer,SON - PS1,199412,Ridge Racer,,,,,,,
Ridge Racer,SON - PSP,200412,Ridge Racer,,,,,,,
Ridge Racer 2,SON - PSP,200609,Ridge Racer,,,,,,,
Ridge Racer 3D,NIN - 3DS,201102,Ridge Racer,,,,,,,
Ridge Racer 6,MIC - X360,200511,Ridge Racer,,,,,,,
Ridge Racer 64,NIN - N64,20000214,Ridge Racer,,na-eu,,Nintendo ST,Nintendo,Racing (Simulation),RR64
Ridge Racer 7,SON - PS3,200611,Ridge Racer,,,,,,,
Ridge Racer DS,NIN - DS,200412,Ridge Racer,Remake,,,,,,
Ridge Racer Revolution,SON - PS1,199512,Ridge Racer,,,,,,,
Ridge Racer Type 4,SON - PS1,199812,Ridge Racer,,,,,,,
Ridge Racer Unbounded,MIC - WIN,201203,Ridge Racer,,,,,,,
Ridge Racer Unbounded,MIC - X360,201203,Ridge Racer,,,,,,,
Ridge Racer Unbounded,SON - PS3,201203,Ridge Racer,,,,,,,
Ridge Racer V,SON - PS2,200003,Ridge Racer,,,,,,,
Ridge Racer Vita,SON - PSV,201112,Ridge Racer,,,,,,,
River City Ransom,NIN - NES,,,,,,,,,
River City Ransom EX,NIN - GBA,,,,,,,,,
River City: Knights of Justice,NIN - 3DS,,,,,,,,,
River City: Rival Showdown,NIN - 3DS,,,,,,,,,
River City: Tokyo Rumble,NIN - 3DS,,,,,,,,,
Rocket: Robot on Wheels,NIN - N64,,,,,,,,,
Rockman & Forte,NIN - SNES,,,,,,,,,
Rockman EXE 4.5: Real Operation,NIN - GBA,,,,,,,,,
Rockman EXE Operate Shooting Star,NIN - DS,,,,,,,,,
Rodea the Sky Soldier,NIN - WII,,,,,,,,,
Romancing SaGa,NIN - SNES,,,,,,,,,
Romancing SaGa 2,NIN - SNES,,,,,,,,,
Romancing SaGa 3,NIN - SNES,,,,,,,,,
R-Type,NIN - GB,,,,,,,,,
R-Type DX,NIN - GBC,,,,,,,,,
R-Type II,NIN - GB,,,,,,,,,
R-Type III: The Third Lightning,NIN - GBA,,,,,,,,,
R-Type III: The Third Lightning,NIN - SNES,,,,,,,,,
Rune Factory 2: A Fantasy Harvest Moon,NIN - DS,,,,,,,,,
Rune Factory 3: A Fantasy Harvest Moon,NIN - DS,,,,,,,,,
Rune Factory 4,NIN - 3DS,,,,,,,,,
Rune Factory Frontier,NIN - WII,,,,,,,,,
Rune Factory: A Fantasy Harvest Moon,NIN - DS,,,,,,,,,
Rune Factory: Tides of Destiny,NIN - WII,,,,,,,,,
Ry? ga Gotoku Kenzan!,SON - PS3,20080306,Like a Dragon,,jp,,Sega,Sega,Action-Adventure,
Ryu ga Gotoku 1&2 HD Edition,SON - PS3,20121101,Like a Dragon,Remaster,jp,,Genki,Sega,Action-Adventure,
Ryu ga Gotoku 1&2 HD Edition,NIN - WIIU,20130808,Like a Dragon,Remaster,jp,,Genki,Sega,Action-Adventure,
Ryu ga Gotoku Ishin!,SON - PS3,20140222,Like a Dragon,,jp,,Ryu Ga Gotoku Studio,Sega,Action-Adventure,
Ryu ga Gotoku Ishin!,SON - PS4,20140222,Like a Dragon,,jp,,Ryu Ga Gotoku Studio,Sega,Action-Adventure,
SaGa Frontier,SON - PS1,,,,,,,,,
SaGa Frontier 2,SON - PS1,,,,,,,,,
Sakura Samurai: Art of the Sword,NIN - 3DS,,,,,,,,,
Samba de Amigo,NIN - WII,,,,,,,,,
Samurai Warriors: Chronicles,NIN - 3DS,,,,,,,,,
Samurai Warriors: Chronicles 2,NIN - 3DS,,,,,,,,,
Samurai Warriors: Chronicles 3,NIN - 3DS,,,,,,,,,
Scribblenauts,NIN - DS,,,,,,,,,
Scribblenauts Unlimited,NIN - 3DS,,,,,,,,,
Scribblenauts Unmasked: A DC Comics Adventure,NIN - 3DS,,,,,,,,,
Secret of Evermore,NIN - SNES,,,,,,,,,
Secret of Mana,NIN - SNES,199308,Mana,,,,,,,
Secret of Mana,MIC - WIN,201802,Mana,,,,,,,
Secret of Mana,SON - PS4,201802,Mana,,,,,,,
Secret of Mana,SON - PSV,201802,Mana,,,,,,,
Sega 3D Classics Collection,NIN - 3DS,,,,,,,,,
Sega Ages: Sonic the Hedgehog,NIN - SWI,20180920,Sonic,Remake,ww,,M2,Sega,,
Shadow the Hedgehog,MIC - XBOX,,Sonic,,,,,,,
Shadow the Hedgehog,NIN - GCN,,Sonic,,,,,,,
Shadow the Hedgehog,SON - PS2,,Sonic,,,,,,,
Shadowrun,NIN - SNES,,,,,,,,,
Shakedown Hawaii,NIN - 3DS,,,,,,,,,
Shakedown: Hawaii,NIN - WII,,,,,,,,,
Shantae,NIN - GBC,,,,,,,,,
Shantae and the Pirate's Curse,NIN - 3DS,,,,,,,,,
Shin Megami Tensei,NIN - SNES,199210,Megami Tensei,,,,,,,
Shin Megami Tensei,SON - PS1,200105,Megami Tensei,,,,,,,
Shin Megami Tensei,NIN - GBA,200303,Megami Tensei,,,,,,,
Shin Megami Tensei If...,NIN - SNES,199410,Megami Tensei,,,,,,,
Shin Megami Tensei If...,SON - PS1,200212,Megami Tensei,,,,,,,
Shin Megami Tensei II,NIN - SNES,199403,Megami Tensei,,,,,,,
Shin Megami Tensei II,SON - PS1,200203,Megami Tensei,,,,,,,
Shin Megami Tensei II,NIN - GBA,200309,Megami Tensei,,,,,,,
Shin Megami Tensei III: HD Remaster,NIN - SWI,202010,Megami Tensei,,,,,,,
Shin Megami Tensei III: HD Remaster,SON - PS4,202010,Megami Tensei,,,,,,,
Shin Megami Tensei III: HD Remaster,MIC - WIN,202105,Megami Tensei,,,,,,,
Shin Megami Tensei III: Nocturne,SON - PS2,200302,Megami Tensei,,,,,,,
Shin Megami Tensei IV,NIN - 3DS,201305,Megami Tensei,,,,,,,
Shin Megami Tensei IV: Apocalypse,NIN - 3DS,201602,Megami Tensei,,,,,,,
Shin Megami Tensei V,NIN - SWI,202111,Megami Tensei,,,,,,,
Shin Megami Tensei: Devil Summoner: Soul Hackers,NIN - 3DS,201208,Megami Tensei,,,,,,,
Shin Megami Tensei: Devil Survivor,NIN - DS,200901,Megami Tensei,,,,,,,
Shin Megami Tensei: Devil Survivor 2,NIN - DS,201107,Megami Tensei,,,,,,,
Shin Megami Tensei: Devil Survivor 2: Record Breaker,NIN - 3DS,201501,Megami Tensei,,,,,,,
Shin Megami Tensei: Devil Survivor Overclocked,NIN - 3DS,201109,Megami Tensei,,,,,,,
Shin Megami Tensei: Digital Devil Saga,SON - PS2,200407,Megami Tensei,,,,,,,
Shin Megami Tensei: Digital Devil Saga 2,SON - PS2,200501,Megami Tensei,,,,,,,
Shin Megami Tensei: Nine,MIC - XBOX,200212,Megami Tensei,,,,,,,
Shin Megami Tensei: Persona,SON - PSP,200904,Persona,,,,,,,
Shin Megami Tensei: Strange Journey,NIN - DS,200910,Megami Tensei,,,,,,,
Shin Megami Tensei: Strange Journey Redux,NIN - 3DS,201710,Megami Tensei,,,,,,,
Shinobi 3D,NIN - 3DS,,,,,,,,,
Shiren the Wanderer,NIN - WII,,,,,,,,,
Shovel Knight,NIN - 3DS,,,,,,,,,
Silent Hill,SON - PS1,,,,,,,,,
Silent Hill: Shattered Memories,NIN - WII,,,,,,,,,
SimCity,NIN - SNES,,,,,,,,,
SimCity DS,NIN - DS,,,,,,,,,
Sin & Punishment: Star Successor,NIN - WII,,,,,,,,,
Sin and Punishment,NIN - N64,,,,,,,,,
Skate or Die,NIN - NES,,,,,,,,,
Skate or Die 2: The Search for Double Trouble,NIN - NES,,,,,,,,,
Skate or Die: Bad 'N Rad,NIN - GB,,,,,,,,,
Skies of Arcadia Legends,NIN - GCN,,,,,,,,,
Skylanders: Giants,NIN - 3DS,,,,,,,,,
Skylanders: Spyro's Adventure,NIN - 3DS,,,,,,,,,
Skylanders: Spyro's Adventure,NIN - WII,,,,,,,,,
Skylanders: SuperChargers Racing,NIN - 3DS,,,,,,,,,
Skylanders: Swap Force,NIN - 3DS,,,,,,,,,
Skylanders: Trap Team,NIN - 3DS,,,,,,,,,
Snake's Revenge,NIN - NES,,,,,,,,,
Sniper Elite,NIN - WII,,,,,,,,,
SNK vs. Capcom Card Fighters DS,NIN - DS,,,,,,,,,
Soccer,NIN - NES,,,,,,,,,
Solomon's Key,NIN - NES,,,,,,,,,
Sonic & All-Stars Racing Transformed,MIC - X360,20121116,Sonic,,ww,,Sumo Digital,Sega,,
Sonic & All-Stars Racing Transformed,SON - PS3,20121116,Sonic,,ww,,Sumo Digital,Sega,,
Sonic & All-Stars Racing Transformed,NIN - WIIU,20121118,Sonic,,ww,,Sumo Digital,Sega,,
Sonic & All-Stars Racing Transformed,SON - PSV,20121207,Sonic,,na-eu,,Sumo Digital,Sega,,
Sonic & All-Stars Racing Transformed,MIC - WIN,20130131,Sonic,,ww,,Sumo Digital,Sega,,
Sonic & All-Stars Racing Transformed,NIN - 3DS,20130207,Sonic,,na-eu,,Sumo Digital,Sega,,
Sonic & Sega All-Stars Racing,NIN - WII,201002,Sonic,,,,,,,
Sonic & Sega All-Stars Racing,MIC - WIN,,Sonic,,,,,,,
Sonic & Sega All-Stars Racing,MIC - X360,,Sonic,,,,,,,
Sonic & Sega All-Stars Racing,NIN - DS,,Sonic,,,,,,,
Sonic & Sega All-Stars Racing,SON - PS3,,Sonic,,,,,,,
Sonic 06,MIC - X360,200611,Sonic,,,,,,,
Sonic 06,SON - PS3,200612,Sonic,,,,,,,
Sonic 3D Blast,MIC - WIN,,Sonic,,,,,,,
Sonic 3D Blast,SEG - GEN,,Sonic,,,,,,,
Sonic 3D Blast,SEG - SAT,,Sonic,,,,,,,
Sonic Advance,NIN - GBA,20011220,Sonic,,ww,,Dimps/Sonic Team,Sega,,
Sonic Advance 2,NIN - GBA,20021219,Sonic,,ww,,Dimps/Sonic Team,Sega,,
Sonic Advance 3,NIN - GBA,20040607,Sonic,,ww,,Dimps/Sonic Team,Sega,,
Sonic Adventure,SEG - SDC,19981223,Sonic,,jp-na-eu,,Sonic Team,Sega,,
Sonic Adventure 2,SEG - SDC,,Sonic,,,,,,,
Sonic Adventure 2: Battle,MIC - WIN,,Sonic,,,,,,,
Sonic Adventure 2: Battle,NIN - GCN,,Sonic,,,,,,,
Sonic Adventure DX: Director's Cut,NIN - GCN,20030617,Sonic,Remaster,ww,,Sonic Team,Sega,,
Sonic Adventure DX: Director's Cut,MIC - WIN,,Sonic,,,,,,,
Sonic and Knuckles,SEG - GEN,19941018,Sonic,,ww,Sonic the Hedgehog 3,Sega Technical Institute,Sega,,
Sonic and the Black Knight,NIN - WII,200903,Sonic,,,,,,,
Sonic and the Secret Rings,NIN - WII,200702,Sonic,,,,,,,
Sonic Battle,NIN - GBA,,Sonic,,,,,,,
Sonic Blast,SEG - SGG,,Sonic,,,,,,,
Sonic Blast,SEG - SMS,,Sonic,,,,,,,
Sonic Boom: Fire & Ice,NIN - 3DS,,Sonic,,,,,,,
Sonic Boom: Rise of Lyric,NIN - WIIU,,Sonic,,,,,,,
Sonic Boom: Shattered Crystal,NIN - 3DS,,Sonic,,,,,,,
Sonic CD,SEG - SCD,19930923,Sonic,,jp-na-eu,,Sega,Sega,,
Sonic CD,MIC - WIN,,Sonic,,,,,,,
Sonic Chaos,SEG - SGG,,Sonic,,,,,,,
Sonic Chaos,SEG - SMS,,Sonic,,,,,,,
Sonic Chronicles: The Dark Brotherhood,NIN - DS,,Sonic,,,,,,,
Sonic Classic Collection,NIN - DS,,Sonic,,,,,,,
Sonic Colors,NIN - DS,20101111,Sonic,,ww,,Sonic Team/Dimps,Sega,,
Sonic Colors,NIN - WII,20101111,Sonic,,ww,,Sonic Team,Sega,,
Sonic Colors Ultimate,MIC - WIN,,Sonic,,,,,,,
Sonic Colors Ultimate,MIC - XB1,,Sonic,,,,,,,
Sonic Colors Ultimate,NIN - SWI,,Sonic,,,,,,,
Sonic Colors Ultimate,SON - PS4,,Sonic,,,,,,,
Sonic Drift,SEG - SGG,,Sonic,,,,,,,
Sonic Drift 2,SEG - SGG,,Sonic,,,,,,,
Sonic Forces,MIC - WIN,,Sonic,,,,,,,
Sonic Forces,MIC - XB1,,Sonic,,,,,,,
Sonic Forces,NIN - SWI,,Sonic,,,,,,,
Sonic Forces,SON - PS4,,Sonic,,,,,,,
Sonic Free Riders,MIC - X360,,Sonic,,,,,,,
Sonic Frontiers,MIC - WIN,,Sonic,,,,,,,
Sonic Frontiers,MIC - XB1,,Sonic,,,,,,,
Sonic Frontiers,MIC - XSXS,,Sonic,,,,,,,
Sonic Frontiers,NIN - SWI,,Sonic,,,,,,,
Sonic Frontiers,SON - PS4,,Sonic,,,,,,,
Sonic Frontiers,SON - PS5,,Sonic,,,,,,,
Sonic Gems Collection,NIN - GCN,,Sonic,,,,,,,
Sonic Gems Collection,SON - PS2,,Sonic,,,,,,,
Sonic Generations,MIC - WIN,,Sonic,,,,,,,
Sonic Generations,MIC - X360,,Sonic,,,,,,,
Sonic Generations,NIN - 3DS,,Sonic,,,,,,,
Sonic Generations,SON - PS3,,Sonic,,,,,,,
Sonic Heroes,MIC - WIN,,Sonic,,,,,,,
Sonic Heroes,MIC - XBOX,,Sonic,,,,,,,
Sonic Heroes,NIN - GCN,,Sonic,,,,,,,
Sonic Heroes,SON - PS2,,Sonic,,,,,,,
Sonic Jam,SEG - SAT,,Sonic,,,,,,,
Sonic Labyrinth,SEG - SGG,,Sonic,,,,,,,
Sonic Lost World,MIC - WIN,,Sonic,,,,,,,
Sonic Lost World,NIN - 3DS,,Sonic,,,,,,,
Sonic Lost World,NIN - WIIU,,Sonic,,,,,,,
Sonic Mania,MIC - XB1,20170815,Sonic,,ww,,Christian Whitehead/PagodaWest Games/Headcannon,Sega,,
Sonic Mania,NIN - SWI,20170815,Sonic,,ww,,Tantalus Media/PagodaWest Games/Headcannon,Sega,,
Sonic Mania,SON - PS4,20170815,Sonic,,ww,,Christian Whitehead/PagodaWest Games/Headcannon,Sega,,
Sonic Mania,MIC - WIN,20170829,Sonic,,ww,,Christian Whitehead/PagodaWest Games/Headcannon,Sega,,
Sonic Mega Collection,NIN - GCN,,Sonic,,,,,,,
Sonic Mega Collection Plus,MIC - XBOX,,Sonic,,,,,,,
Sonic Mega Collection Plus,SON - PS2,,Sonic,,,,,,,
Sonic Origins,MIC - WIN,,Sonic,,,,,,,
Sonic Origins,MIC - XB1,,Sonic,,,,,,,
Sonic Origins,MIC - XSXS,,Sonic,,,,,,,
Sonic Origins,NIN - SWI,,Sonic,,,,,,,
Sonic Origins,SON - PS4,,Sonic,,,,,,,
Sonic Origins,SON - PS5,,Sonic,,,,,,,
Sonic Pinball Party,NIN - GBA,,Sonic,,,,,,,
Sonic Pocket Adventure,SNK - NGPC,19991204,Sonic,,jp-na-eu,,SNK,Sega,,
Sonic R,MIC - WIN,,Sonic,,,,,,,
Sonic R,SEG - SAT,,Sonic,,,,,,,
Sonic Riders,MIC - WIN,,Sonic,,,,,,,
Sonic Riders,MIC - XBOX,,Sonic,,,,,,,
Sonic Riders,NIN - GCN,,Sonic,,,,,,,
Sonic Riders,SON - PS2,,Sonic,,,,,,,
Sonic Riders: Zero Gravity,NIN - WII,200801,Sonic,,,,,,,
Sonic Riders: Zero Gravity,SON - PS2,,Sonic,,,,,,,
Sonic Rivals,SON - PSP,,Sonic,,,,,,,
Sonic Rivals 2,SON - PSP,,Sonic,,,,,,,
Sonic Rush,NIN - DS,20051115,Sonic,,jp-na-eu,,Dimps/Sonic Team,Sega,,
Sonic Rush Adventure,NIN - DS,20070913,Sonic,,jp-na-eu,,Dimps/Sonic Team,Sega,,
Sonic Shuffle,SEG - SDC,,Sonic,,,,,,,
Sonic Spinball,SEG - GEN,19931123,Sonic,,jp-na-eu,,Sega Technical Institute,Sega,,
Sonic Spinball,SEG - SGG,,Sonic,,,,,,,
